,Frame,X,Y,Z
4013,2007,0.021550857,-0.029433186,0.58473674
4015,2008,0.021550857,-0.029433186,0.58473674
4017,2009,0.021550857,-0.029433186,0.58473674
4019,2010,0.021550857,-0.029433186,0.58473674
4021,2011,0.021550857,-0.029433186,0.58473674
4023,2012,0.021550857,-0.029433186,0.58473674
4025,2013,0.021550857,-0.029433186,0.58473674
4027,2014,0.021550857,-0.029433186,0.58473674
4029,2015,0.021550857,-0.029433186,0.58473674
4031,2016,0.021550857,-0.029433186,0.58473674
4033,2017,0.021550857,-0.029433186,0.58473674
4035,2018,0.021550857,-0.029433186,0.58473674
4037,2019,0.021550857,-0.029433186,0.58473674
4039,2020,0.021550857,-0.029433186,0.58473674
4041,2021,0.021550857,-0.029433186,0.58473674
4043,2022,0.021550857,-0.029433186,0.58473674
4045,2023,0.02154844,-0.029578191,0.58473204
4047,2024,0.021550857,-0.029433186,0.58473674
4049,2025,0.02154844,-0.029578191,0.58473204
4051,2026,0.02154844,-0.029578191,0.58473204
4053,2027,0.02154844,-0.029578191,0.58473204
4055,2028,0.02154844,-0.029578191,0.58473204
4057,2029,0.02154844,-0.029578191,0.58473204
4059,2030,0.02154844,-0.029578191,0.58473204
4061,2031,0.02154844,-0.029578191,0.58473204
4063,2032,0.02154844,-0.029578191,0.58473204
4065,2033,0.02154844,-0.029578191,0.58473204
4067,2034,0.021838282,-0.029568928,0.58459333
4069,2035,0.021838282,-0.029568928,0.58459333
4071,2036,0.02154844,-0.029578191,0.58473204
4073,2037,0.021838282,-0.029568928,0.58459333
4075,2038,0.021840686,-0.029726681,0.5845938
4077,2039,0.021840686,-0.029726681,0.5845938
4079,2040,0.021840686,-0.029726681,0.5845938
4081,2041,0.021840686,-0.029726681,0.5845938
4083,2042,0.021840686,-0.029726681,0.5845938
4085,2043,0.021840686,-0.029726681,0.5845938
4087,2044,0.021840686,-0.029726681,0.5845938
4089,2045,0.021840686,-0.029726681,0.5845938
4091,2046,0.021840686,-0.029726681,0.5845938
4093,2047,0.021840686,-0.029726681,0.5845938
4095,2048,0.021840686,-0.029726681,0.5845938
4097,2049,0.021840686,-0.029726681,0.5845938
4099,2050,0.021840686,-0.029726681,0.5845938
4101,2051,0.021840686,-0.029726681,0.5845938
4103,2052,0.021840686,-0.029726681,0.5845938
4105,2053,0.021840686,-0.029726681,0.5845938
4107,2054,0.021840686,-0.029726681,0.5845938
4109,2055,0.021840686,-0.029726681,0.5845938
4111,2056,0.021828102,-0.02971316,0.58425543
4113,2057,0.021840686,-0.029726681,0.5845938
4115,2058,0.021840686,-0.029726681,0.5845938
4117,2059,0.021828102,-0.02971316,0.58425543
4119,2060,0.021840686,-0.029726681,0.5845938
4121,2061,0.021840686,-0.029726681,0.5845938
4123,2062,0.021825636,-0.029858044,0.58425072
4125,2063,0.021825636,-0.029858044,0.58425072
4127,2064,0.021828102,-0.02971316,0.58425543
4129,2065,0.021825636,-0.029858044,0.58425072
4131,2066,0.021825636,-0.029858044,0.58425072
4133,2067,0.021825636,-0.029858044,0.58425072
4135,2068,0.021825636,-0.029858044,0.58425072
4137,2069,0.021825636,-0.029858044,0.58425072
4139,2070,0.021825636,-0.029858044,0.58425072
4141,2071,0.021825636,-0.029858044,0.58425072
4143,2072,0.021825636,-0.029858044,0.58425072
4145,2073,0.021825636,-0.029858044,0.58425072
4147,2074,0.021825636,-0.029858044,0.58425072
4149,2075,0.021828096,-0.030015755,0.5842512
4151,2076,0.021825636,-0.029858044,0.58425072
4153,2077,0.021825636,-0.029858044,0.58425072
4155,2078,0.021828096,-0.030015755,0.5842512
4157,2079,0.021828096,-0.030015755,0.5842512
4159,2080,0.021828096,-0.030015755,0.5842512
4161,2081,0.021828096,-0.030015755,0.5842512
4163,2082,0.021828096,-0.030015755,0.5842512
4165,2083,0.021828096,-0.030015755,0.5842512
4167,2084,0.021828096,-0.030015755,0.5842512
4169,2085,0.021828096,-0.030015755,0.5842512
4171,2086,0.021828096,-0.030015755,0.5842512
4173,2087,0.021828096,-0.030015755,0.5842512
4175,2088,0.021828096,-0.030015755,0.5842512
4177,2089,0.021828096,-0.030015755,0.5842512
4179,2090,0.021828096,-0.030015755,0.5842512
4181,2091,0.021828096,-0.030015755,0.5842512
4183,2092,0.021828096,-0.030015755,0.5842512
4185,2093,0.021828096,-0.030015755,0.5842512
4187,2094,0.021828096,-0.030015755,0.5842512
4189,2095,0.021828096,-0.030015755,0.5842512
4191,2096,0.021828096,-0.030015755,0.5842512
4193,2097,0.021825582,-0.030160637,0.58424646
4195,2098,0.021828096,-0.030015755,0.5842512
